track_id,danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
4VuS959DSpr82t3qBqCrWG,0.589,0.242,0.914,0.0,0.257,89.749,2,Upbeat Happy Songs
1wJL1A0QUHJPf2cm7tsrdw,0.714,0.305,0.819,0.0,0.554,124.91,2,Upbeat Happy Songs
52JI5d3bRVmZYnMkiBSvwU,0.839,0.216,0.725,0.0,0.242,43.084,2,Upbeat Happy Songs
70b5Sq3ePOu3Gqg0hjlOtR,0.354,0.411,0.815,0.0,0.43,90.813,2,Upbeat Happy Songs
4S8PxReB1UiDR2F5x1lyIR,0.479,0.802,0.55,0.00045,0.602,74.98,2,Upbeat Happy Songs
1KxwZYyzWNyZSRyErj2ojT,0.479,0.545,0.365,0.0,0.243,74.897,2,Upbeat Happy Songs
0URaKGzNTtzKRtsJN1RkA9,0.479,0.61,0.825,0.0,0.181,92.531,2,Upbeat Happy Songs
4pCbJC43j3gSqG6Fen6upD,0.583,0.351,0.494,0.0,0.462,79.014,2,Upbeat Happy Songs
6ljgpSnKrzvpigdjt0rCkF,0.583,0.481,0.264,0.0,0.172,98.909,2,Upbeat Happy Songs
2OcSE0EXzgUuqkM1NIJPHJ,0.583,0.43,0.801,0.0,0.367,84.967,2,Upbeat Happy Songs
61B4OZ2NommCCIoVUwvvpo,0.583,0.355,0.661,0.165,0.635,93.284,2,Upbeat Happy Songs
0oaY19dUwZimIgzn3ZZLZO,0.583,0.444,0.593,0.0,0.167,119.59,2,Upbeat Happy Songs
0udOCZp7yk0Ml92C0k8H8D,0.583,0.499,0.591,0.0104,0.342,155.199,2,Upbeat Happy Songs
1mhVXWduD8ReDwusfaHNwU,0.583,0.454,0.265,0.0,0.309,74.64,2,Upbeat Happy Songs
4pKhxDtzoLPVy4GzW1ibAz,0.708,0.449,0.451,0.0,0.63,84.396,2,Upbeat Happy Songs
1bdm32mVmoGcek5bVKxQKd,0.708,0.673,0.499,0.000233,0.311,136.969,2,Upbeat Happy Songs
6J2LdBN97cDWn0MLxYh9HB,0.708,0.186,0.868,0.0,0.322,72.541,2,Upbeat Happy Songs
1Tnw0ItH1Macok8gblnPPd,0.708,0.547,0.727,0.0,0.549,83.8,2,Upbeat Happy Songs
47Dey0jXZv5PdGmCGR1jYa,0.351,0.362,0.701,4.52e-06,0.151,115.135,2,Upbeat Happy Songs
7C1BLYzAvR0KdBpov3GpUZ,0.351,0.593,0.678,5.54e-05,0.358,92.263,2,Upbeat Happy Songs
0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,0.934,0.0,0.12,115.284,2,Upbeat Happy Songs
