danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
0.336,0.404,0.462,3.93e-06,0.0872,75.8,2,Upbeat Happy Songs
0.336,0.358,0.732,0.0,0.322,78.313,2,Upbeat Happy Songs
0.461,0.267,0.834,2.03e-05,0.481,87.918,2,Upbeat Happy Songs
0.461,0.395,0.849,0.0,0.191,176.217,2,Upbeat Happy Songs
0.461,0.696,0.91,0.0,0.382,173.695,2,Upbeat Happy Songs
0.461,0.279,0.911,0.0,0.599,114.225,2,Upbeat Happy Songs
0.461,0.412,0.288,0.0,0.331,143.979,2,Upbeat Happy Songs
0.547,0.822,0.602,0.0,0.553,81.981,2,Upbeat Happy Songs
0.547,0.485,0.463,0.0,0.242,145.059,2,Upbeat Happy Songs
0.547,0.679,0.61,1.42e-05,0.288,122.696,2,Upbeat Happy Songs
0.547,0.368,0.537,0.0,0.367,96.051,2,Upbeat Happy Songs
0.672,0.613,0.599,0.0,0.557,97.041,2,Upbeat Happy Songs
0.672,0.52,0.859,0.0,0.37,120.001,2,Upbeat Happy Songs
0.672,0.578,0.469,0.0,0.548,113.945,2,Upbeat Happy Songs
0.797,0.293,0.591,0.0724,0.478,80.035,2,Upbeat Happy Songs
0.797,0.616,0.762,0.000293,0.451,103.071,2,Upbeat Happy Songs
0.333,0.524,0.194,0.0,0.438,73.393,2,Upbeat Happy Songs
0.333,0.452,0.0687,4.17e-05,0.0913,79.825,2,Upbeat Happy Songs
0.333,0.423,0.772,0.000355,0.215,145.331,2,Upbeat Happy Songs
0.458,0.55,0.566,1.39e-05,0.56,90.56,2,Upbeat Happy Songs
0.458,0.571,0.535,0.000305,0.586,110.013,2,Upbeat Happy Songs
0.458,0.535,0.575,0.0,0.216,82.826,2,Upbeat Happy Songs
0.458,0.452,0.342,1.94e-05,0.316,86.318,2,Upbeat Happy Songs
0.458,0.351,0.696,0.0,0.102,79.993,2,Upbeat Happy Songs
0.541,0.628,0.733,0.0,0.364,80.027,2,Upbeat Happy Songs
0.541,0.596,0.333,0.000164,0.204,79.697,2,Upbeat Happy Songs
0.541,0.307,0.573,5.72e-06,0.25,92.886,2,Upbeat Happy Songs
0.541,0.468,0.404,3.65e-06,0.69,95.266,2,Upbeat Happy Songs
0.541,0.366,0.56,1e-06,0.168,159.707,2,Upbeat Happy Songs
0.666,0.423,0.494,0.0,0.154,129.893,2,Upbeat Happy Songs
0.666,0.601,0.501,0.0,0.262,102.945,2,Upbeat Happy Songs
0.33,0.483,0.624,0.0,0.34,87.115,2,Upbeat Happy Songs
0.33,0.357,0.866,1.76e-05,0.101,84.119,2,Upbeat Happy Songs
0.33,0.4,0.164,0.00311,0.0435,117.337,2,Upbeat Happy Songs
0.455,0.621,0.651,2.59e-06,0.28,119.043,2,Upbeat Happy Songs
0.455,0.586,0.638,0.0,0.481,183.694,2,Upbeat Happy Songs
0.455,0.292,0.889,0.0,0.43,84.339,2,Upbeat Happy Songs
0.535,0.561,0.876,0.000136,0.287,96.103,2,Upbeat Happy Songs
0.535,0.287,0.237,0.205,0.206,121.148,2,Upbeat Happy Songs
0.535,0.335,0.739,0.0,0.193,83.928,2,Upbeat Happy Songs
0.66,0.23,0.82,0.0,0.412,109.994,2,Upbeat Happy Songs
0.66,0.343,0.565,0.00134,0.137,125.96,2,Upbeat Happy Songs
0.66,0.667,0.64,1.22e-06,0.381,180.044,2,Upbeat Happy Songs
0.66,0.379,0.798,0.0,0.0762,124.027,2,Upbeat Happy Songs
0.66,0.361,0.436,0.0,0.608,148.069,2,Upbeat Happy Songs
0.66,0.208,0.312,0.382,0.182,96.914,2,Upbeat Happy Songs
0.66,0.646,0.364,0.0,0.298,105.804,2,Upbeat Happy Songs
0.66,0.347,0.452,0.0,0.256,129.747,2,Upbeat Happy Songs
0.327,0.295,0.775,0.0,0.143,148.574,2,Upbeat Happy Songs
0.529,0.638,0.396,1.7e-05,0.305,124.949,2,Upbeat Happy Songs
0.529,0.445,0.67,0.032,0.179,124.166,2,Upbeat Happy Songs
0.529,0.237,0.605,0.0,0.397,138.959,2,Upbeat Happy Songs
0.529,0.446,0.582,0.0158,0.739,175.979,2,Upbeat Happy Songs
0.654,0.445,0.31,0.0,0.175,144.014,2,Upbeat Happy Songs
0.654,0.548,0.154,0.844,0.246,74.972,2,Upbeat Happy Songs
0.654,0.258,0.0549,0.757,0.0675,79.994,2,Upbeat Happy Songs
0.654,0.578,0.547,0.0,0.233,143.866,2,Upbeat Happy Songs
0.654,0.51,0.206,0.0,0.105,108.874,2,Upbeat Happy Songs
0.779,0.541,0.566,0.0,0.447,124.939,2,Upbeat Happy Songs
0.779,0.597,0.723,4.47e-05,0.646,173.986,2,Upbeat Happy Songs
0.904,0.26,0.277,0.0,0.231,117.967,2,Upbeat Happy Songs
0.324,0.327,0.825,0.0,0.334,81.328,2,Upbeat Happy Songs
0.324,0.574,0.239,0.0,0.335,74.101,2,Upbeat Happy Songs
0.324,0.416,0.262,3.69e-05,0.151,113.986,2,Upbeat Happy Songs
0.449,0.325,0.0617,0.307,0.217,118.047,2,Upbeat Happy Songs
0.449,0.465,0.524,1.02e-06,0.543,89.087,2,Upbeat Happy Songs
0.449,0.691,0.477,0.0,0.201,93.267,2,Upbeat Happy Songs
0.449,0.356,0.59,2.83e-06,0.177,126.472,2,Upbeat Happy Songs
0.449,0.524,0.136,0.0,0.128,69.726,2,Upbeat Happy Songs
0.523,0.365,0.548,1.2e-05,0.256,144.871,2,Upbeat Happy Songs
0.523,0.234,0.972,0.000151,0.482,83.462,2,Upbeat Happy Songs
0.523,0.666,0.401,0.0,0.564,78.077,2,Upbeat Happy Songs
0.773,0.608,0.616,0.0,0.475,79.002,2,Upbeat Happy Songs
0.898,0.283,0.319,0.000383,0.469,138.97,2,Upbeat Happy Songs
0.321,0.0625,0.964,1.18e-06,0.413,183.507,2,Upbeat Happy Songs
0.321,0.432,0.726,9.08e-05,0.172,123.304,2,Upbeat Happy Songs
0.321,0.511,0.513,0.0,0.17,128.98,2,Upbeat Happy Songs
0.321,0.405,0.849,0.000544,0.274,146.072,2,Upbeat Happy Songs
0.446,0.447,0.39,0.0,0.497,158.063,2,Upbeat Happy Songs
0.517,0.479,0.544,0.00598,0.284,88.968,2,Upbeat Happy Songs
0.642,0.388,0.473,0.0,0.186,115.355,2,Upbeat Happy Songs
0.642,0.289,0.669,0.0,0.407,84.996,2,Upbeat Happy Songs
0.767,0.722,0.678,1.1e-05,0.52,141.075,2,Upbeat Happy Songs
0.767,0.313,0.838,0.0,0.765,82.582,2,Upbeat Happy Songs
0.318,0.47,0.648,9.19e-05,0.19,78.799,2,Upbeat Happy Songs
0.443,0.596,0.688,0.0,0.186,115.597,2,Upbeat Happy Songs
0.443,0.533,0.371,0.0,0.201,77.344,2,Upbeat Happy Songs
0.443,0.298,0.388,1e-05,0.172,77.253,2,Upbeat Happy Songs
0.443,0.518,0.603,0.00225,0.323,185.764,2,Upbeat Happy Songs
0.443,0.406,0.00903,0.0,0.0558,80.896,2,Upbeat Happy Songs
0.511,0.566,0.349,0.0,0.218,83.903,2,Upbeat Happy Songs
0.511,0.34,0.727,0.0,0.952,174.661,2,Upbeat Happy Songs
0.511,0.313,0.905,0.0,0.331,126.962,2,Upbeat Happy Songs
