track_id,genres
3x5VSzCT9x9LB6uPomLZXs,"contemporary country, country road"
63w0QA1wiV7QhF9jeiHETF,"contemporary country, country road"
7CMIy0uwXyeBv2MvaEUJM1,post-teen pop
1DH1DGQzth0K6YouejlNLY,"gospel r&b, gospel"
56H98l4uinRifnTH8e308N,"rap, hip hop, alternative rock, golden age hip hop, rap rock, rock, east coast hip hop, old school hip hop"
0Puj4YlTm6xNzDDADXHMI9,"rap, hip hop, alternative rock, golden age hip hop, rap rock, rock, east coast hip hop, old school hip hop"
4WtkYdCG4n80h08Ep5SmDI,"country pop, modern country rock"
2Xr1dTzJee307rmrkt8c0g,"afro r&b, afrobeats"
6clrpCeCKy6A0Tda4Tq3Ha,
0MwkywJbKkouaclKZ0WjPA,
52vS7mJ0a70Z4uRCfl8SjH,"pop, post-teen pop"
2n3CaPGPLYnYAvTEwKCX8t,"dance pop, pop, miami hip hop, post-teen pop"
2u7mxWSeoqTXndK5e08jMp,"pop rap, melodic rap"
3ZhTT6yjZwpPph5MIJ53XY,"pop rap, melodic rap"
4V9JDRqKjN8F2HWdlEDxvI,pop
6ECp64rv50XVz93WvxXMGF,pop
7sapKrjDij2fpDVj0GxP66,pop
5qII2n90lVdPDcgXEEVHNy,pop
1lHXlGlve5Zx8tXLhyjDwM,pop
1zqllQUMCgMaInr0CzFVll,pop
0tuyEYTaqLxE41yGHSsXjy,pop
1rhHkjoNw3EPUG4qAuGZih,"urban contemporary, pop, barbadian pop"
6KBYk8OFtod7brGuZ3Y67q,pop
2TRuBFYZYw0Q7qIVBhqR1T,pop
7zmJyZL3DfYBBYbY8Rve6W,pop
4ucLHLiSjvkCz5Lr5dlVUj,pop
7LcfRTgAVTs5pQGEQgUEzN,"dance pop, pop"
7A4KjSFDx0BL75up2eK0OF,"pop, pop soul"
1LmN9SSHISbtp9LoaR5ZVJ,"rap, pittsburgh rap, hip hop, southern hip hop, pop rap, pop, trap"
4XNrMwGx1SqP01sqkGTDmo,pop
1c2MXiju7DNPSfsKoVbHlg,pop
5zFglKYiknIxks8geR8rcL,"rap, houston rap, pop, trap queen"
6TwfdLbaxTKzQi3AgsZNzx,pop
0HnaqUxvHP5LaWdmWwJpiS,pop
4gbVRS8gloEluzf0GzDOFc,pop
2PLo8T3kGE9URFvBy3tUdt,pop
2bL2gyO6kBdLkNSkxXNh6x,pop
2iuZJX9X9P0GKaE93xcPjk,pop
1nueTG77MzNkJTKQ0ZdGzT,"rap, hip hop, west coast rap, pop, conscious hip hop"
423oRmTgCWl8nF9Oac1fvA,pop
2j5hsQvApottzvTn4pFJWF,"rap, pop, r&b"
6AvfZXpbb6r35DfF7gHPRq,pop
6V1bu6o1Yo5ZXnsCJU8Ovk,"rap, pop"
4cktbXiXOapiLBMprHFErI,pop
2ST72jD2KVe7f3fbcGyX1b,pop
5vUnjhBzRJJIAOJPde6zDx,"gambian hip hop, singer-songwriter pop"
6GdDjthxbTGBV9rl2oLKa9,"trap queen, hip pop"
3PJivN5BZ2ckFa22igIu4a,"urban contemporary, contemporary r&b, r&b"
4DNmr6nXrvHLRh6oxOHNsz,"rap, baltimore hip hop, hip hop, new orleans rap, pop rap, pop, queens hip hop, hip pop, trap"
0YwUJOHKYxlm5gVfIkl8Ym,"dance pop, contemporary r&b, hip pop, r&b, urban contemporary"
537F8BYzIMOZBl75qwCXy8,"dance pop, contemporary r&b, hip pop, r&b, urban contemporary"
0pLmfgIANOX9FB9uZDU43x,"dance pop, contemporary r&b, hip pop, r&b, urban contemporary"
6tvOzCdhzkrJo3ASWwbSPZ,"rap, dance pop, hip hop, contemporary r&b, hip pop, r&b, urban contemporary, chicago rap"
5jSAfX8SJVD5uzFyLlTVwo,"dance pop, contemporary r&b, hip pop, r&b, urban contemporary"
06G1SCVVYRSDCFGMSnDvpv,"dance pop, contemporary r&b, hip pop, r&b, urban contemporary"
6XDSSxwOntlKPkE6wVzucb,"rap, dance pop, contemporary r&b, hip pop, r&b, urban contemporary"
7r7j12XctfJqZWXsy1Zq9L,pop
3nsfB1vus2qaloUdcBZvDu,pop
3z6XUommYDWPHeFhmhhT6j,pop
3GCL1PydwsLodcpv0Ll1ch,pop
6N1K5OVVCopBjGViHs2IvP,"pop, singer-songwriter pop, uk pop"
5QVVjX0ZItqlVpEuVCM9Yg,pop
4axSuOg3BqsowKjRpj59RU,pop
0V3wPSX9ygBnCm8psDIegu,pop
5jQI2r1RdgtuT8S3iG8zFC,pop
3eX0NZfLtGzoLUxPNvRfqm,pop
3rWDp9tBPQR9z6U5YyRSK4,pop
3qoftcUZaUOncvIYjFSPdE,pop
0heeNYlwOGuUSe7TgUD27B,pop
4D7BCuvgdJlYvlX5WlN54t,pop
7KokYm8cMIXCsGVmUvKtqf,pop
1xwAWUI6Dj0WGC3KiUPN0O,pop
7FmYn9e7KHMXcxqGSj9LjH,pop
0A1JLUlkZkp2EFrosoNQi0,pop
0wavGRldH0AWyu2zvTz8zb,pop
0aV5uARAknQgYhBaK944FP,pop
0BiqmkasE5FdrChwKfVp8X,pop
3UMrglJeju5yWyYIW6o99b,pop
7712gjoih4QoDbXpljEk21,pop
5kiZGSxgqPdv6rbqL9THdd,pop
6wAFvJPpTZVirBKGZ4EnMW,pop
3QF5RsWzK1lCvf2o2cY65P,pop
4P9Q0GojKVXpRTJCaL3kyy,pop
1BxfuPKGuaTgP7aM0Bbdwr,pop
4i6cwNY6oIUU2XZxPIw82Y,"bronx drill, pop"
3xYJScVfxByb61dYHTwiby,pop
5kHMfzgLZP95O9NBy0ku4v,pop
7G0gBu6nLdhFDPRLc0HdDG,pop
79uDOz0zuuWS7HWxzMmTa2,pop
3sW3oSbzsfecv9XoUdGs7h,pop
