track_id,danceability,energy,acousticness,instrumentalness,valence,tempo,Cluster,Cluster_Label
7omJfT9s6V2IpQNBYyq5C8,0.494,0.849,0.0748,0.00152,0.512,181.428,1,Relaxing Acoustic Tunes
6w7OpHp3Y3ByHzmfQXYCRN,0.494,0.956,0.0266,3.58e-05,0.772,171.977,1,Relaxing Acoustic Tunes
3gZ8DvqnrOx3WQRAjCRSIt,0.494,0.935,0.000316,0.0,0.347,150.088,1,Relaxing Acoustic Tunes
3oZ6dlSfCE9gZ55MGPJctc,0.494,0.689,0.0687,7.68e-05,0.472,142.092,1,Relaxing Acoustic Tunes
3T3Epzn2xHawkZ7uzxR13p,0.494,0.87,0.0707,2.98e-05,0.504,146.882,1,Relaxing Acoustic Tunes
4j3X4KX8rURekAVIFUhI23,0.494,0.672,0.0273,0.0,0.557,156.208,1,Relaxing Acoustic Tunes
1GssKKu8x17zi6eTSHzPj8,0.494,0.833,0.00948,0.0,0.339,105.009,1,Relaxing Acoustic Tunes
7uPReljrrTaqzDCcx4JHmi,0.494,0.861,0.257,0.0,0.668,172.052,1,Relaxing Acoustic Tunes
4tK5L8FD5Gl1dSwhzXuU6K,0.494,0.843,0.00611,1.21e-05,0.398,153.963,1,Relaxing Acoustic Tunes
2TfSHkHiFO4gRztVIkggkE,0.494,0.842,0.00579,0.0,0.574,162.011,1,Relaxing Acoustic Tunes
3qTmB5HxP9ilJaiM6B1yuk,0.494,0.634,0.259,1.15e-06,0.28,156.03,1,Relaxing Acoustic Tunes
4b8mFdxfCSTarIUfhMY8yR,0.494,0.649,0.0428,0.0122,0.0397,140.011,1,Relaxing Acoustic Tunes
1gugDOSMREb34Xo0c1PlxM,0.494,0.951,0.000569,0.0,0.441,160.025,1,Relaxing Acoustic Tunes
6XscPNlnKw0mnVYE7kvWRj,0.494,0.708,0.00168,0.0199,0.582,113.995,1,Relaxing Acoustic Tunes
0BRHnOFm6sjxN1i9LJrUDu,0.494,0.939,0.00666,0.0,0.893,177.751,1,Relaxing Acoustic Tunes
027269uzraETHuoG6aMs6a,0.494,0.771,0.0649,0.0,0.371,136.053,1,Relaxing Acoustic Tunes
0DiWol3AO6WpXZgp0goxAV,0.613,0.697,0.0194,0.0,0.476,122.746,1,Relaxing Acoustic Tunes
1Nme6K1PYAh7p7uygyuRdf,0.613,0.634,0.0178,0.0,0.37,144.953,1,Relaxing Acoustic Tunes
2yLa0QULdQr0qAIvVwN6B5,0.613,0.764,0.0527,0.0,0.417,160.015,1,Relaxing Acoustic Tunes
3C3oknuBLo3jxhmRk67glu,0.613,0.857,0.29,0.0,0.349,102.261,1,Relaxing Acoustic Tunes
5YSHygGN9D0mID1NsVd5my,0.613,0.631,0.0663,0.0,0.33,149.992,1,Relaxing Acoustic Tunes
11pn4LFXCIXyprWQk8RSlM,0.613,0.797,0.0185,0.0,0.336,145.011,1,Relaxing Acoustic Tunes
1yampU2t2LNWzEsCpUgHYJ,0.613,0.803,0.000525,0.000333,0.461,127.989,1,Relaxing Acoustic Tunes
4VMRsbfZzd3SfQtaJ1Wpwi,0.613,0.573,0.00572,2.58e-06,0.124,119.041,1,Relaxing Acoustic Tunes
2PLo8T3kGE9URFvBy3tUdt,0.613,0.765,0.082,1.25e-06,0.299,103.951,1,Relaxing Acoustic Tunes
1N7qGCKRRnvjoy8MGyHgpS,0.613,0.667,0.356,1.29e-05,0.481,130.023,1,Relaxing Acoustic Tunes
